iter	RMSE
0	13.96962521
1	13.09082657
2	12.27861651
3	11.53029884
4	10.87492512
5	10.38155225
6	9.857621344
7	9.411181059
8	8.998198398
9	8.588034504
10	8.232135915
11	7.936645968
12	7.686327869
13	7.453139483
14	7.216574456
15	7.018377399
16	6.823313325
17	6.666946823
18	6.508910347
19	6.386746007
20	6.265973887
21	6.169088554
22	6.063254647
23	5.976012341
24	5.901135024
25	5.835939901
26	5.775227205
27	5.723443194
28	5.680032138
29	5.627248312
30	5.592690321
31	5.544273978
32	5.503344158
33	5.478259921
34	5.442185155
35	5.407844279
36	5.383507306
37	5.362378839
38	5.340630083
39	5.318674311
40	5.302066897
41	5.284928558
42	5.272330995
43	5.261014227
44	5.229469639
45	5.215020572
46	5.193062414
47	5.180484848
48	5.165159502
49	5.141982763
